lp_link,lp_name,lp_addr,lp_salestatus,lp_wuyetp,lp_tag,lp_price,lp_phone,lp_dp,lp_huxing,lp_area
https://cq.fang.anjuke.com/loupan/240851.html,鸿府,渝北汽博中心宝环路,待售,住宅,"轨交房,学校,飘窗,双卫",None,400-060-2901,132,"['1室', '2室', '3室', '4室']",65.96-227
https://cq.fang.anjuke.com/loupan/253104.html,国博城,渝北悦来悦城路36号,在售,住宅,"品牌开发商,学校,综合体,大型社区",最低12500/元/㎡起,400-014-6901,241,"['2室', '3室', '4室', '别墅']",101.1-369.55
https://cq.fang.anjuke.com/loupan/409282.html,恒大世纪城,渝北照母山湖红路56号,在售,住宅,"轨交房,学校,品牌开发商,医院",均价14300/元/㎡,400-050-2932,113,"['2室', '3室', '4室']",62.79-178.46
https://cq.fang.anjuke.com/loupan/418565.html,金辉中央銘著,渝北中央公园中央公园南侧甘悦大道,在售,住宅,"即将开盘,品牌开发商,飘窗,双卫",均价16000/元/㎡,400-603-2266 转 74101,36,"['3室', '4室']",90-170
https://cq.fang.anjuke.com/loupan/250866.html,恒大照母山,渝北照母山恒福路150号,在售,住宅,"轨交房,品牌开发商,山景,飘窗",均价15000/元/㎡,400-603-2266 转 23968,202,"['1室', '2室', '3室', '4室']",56-144
https://cq.fang.anjuke.com/loupan/412337.html,鲁能泰山7号,渝北中央公园腾芳大道778号,在售,住宅,"轨交房,品牌开发商,飘窗,公园",均价14000/元/㎡,400-603-2266 转 29661,131,"['1室', '2室', '3室', '4室']",41-138
https://cq.fang.anjuke.com/loupan/414626.html,碧桂园嘉誉,渝北新牌坊龙溪街道星辰支路1号（新牌坊福特安福...,在售,公寓,"轨交房,即将开盘,大型超市,美食街",均价14000/元/㎡,400-603-2266 转 57751,34,['公寓'],27-30
https://cq.fang.anjuke.com/loupan/383815.html,金科空港城,渝北两路空港博才路5号,在售,住宅,"轨交房,改善房,大型超市,带泳池",均价11000/元/㎡,400-603-2266 转 40801,160,"['2室', '3室']",59-81.35
https://cq.fang.anjuke.com/loupan/252832.html,富力湾,渝北汽博中心食品城西路10号,待售,别墅,"轨交房,即将开盘,改善房,湖景",None,400-603-2266 转 90929,85,"['2室', '4室', '5室', '别墅']",62.32-238
https://cq.fang.anjuke.com/loupan/251862.html,公园大道,"渝北中央公园公园东路,近同茂大道",在售,住宅,"轨交房,刚需房,飘窗,运动健身",总价600/万元/套起,400-603-2266 转 27460,209,"['2室', '3室', '4室']",101-199
https://cq.fang.anjuke.com/loupan/297727.html,恋湖学郡,"渝北回兴锦华路,近金兴大道",待售,住宅,"轨交房,大型超市,学校,品牌开发商",None,400-603-2266 转 39398,71,['3室'],89-125.9
https://cq.fang.anjuke.com/loupan/389642.html,中国摩,"渝北两路空港空港大道,近南北大道",在售,住宅,"轨交房,学校,医院,品牌开发商",均价11000/元/㎡,400-603-2266 转 41396,124,"['2室', '3室']",51.57-99.83
https://cq.fang.anjuke.com/loupan/409285.html,恒大御都会,渝北新牌坊红锦大道78号,待售,住宅,"轨交房,大型超市,美食街,品牌开发商",None,400-603-2266 转 24214,94,"['3室', '4室']",70-135.38
https://cq.fang.anjuke.com/loupan/415983.html,回兴欢乐颂,渝北回兴兴科大道222号,待售,住宅,"轨交房,大型超市,刚需房,品牌开发商",None,400-603-2266 转 62312,77,"['1室', '2室', '公寓']",56.24-75.54
https://cq.fang.anjuke.com/loupan/416116.html,蘭亭新都汇,"渝北回兴兴科大道,宝桐路",待售,住宅,"轨交房,商场,飘窗,综合体",None,400-603-2266 转 62503,92,"['1室', '2室', '3室']",49-74
https://cq.fang.anjuke.com/loupan/418034.html,碧桂园中俊天玺,渝北照母山金渝大道岚峰隧道口,在售,住宅,"即将开盘,轨交房,改善房,学校",最低18000/元/㎡起,400-603-2266 转 73566,28,"['4室', '5室']",125-239
https://cq.fang.anjuke.com/loupan/418570.html,华商悦江府,渝北悦来同茂大道（悦来小学旁）,待售,住宅,"轨交房,刚需房,学校,综合体",None,400-603-2266 转 74106,28,"['3室', '4室']",108-141
https://cq.fang.anjuke.com/loupan/430539.html,华润公园九里,渝北中央公园公园西路与甘悦大道交汇处,在售,住宅,"改善房,公园,景区,人车分流",最低16000/元/㎡起,400-603-2266 转 10065,56,"['3室', '4室', '5室', '别墅']",139-271
https://cq.fang.anjuke.com/loupan/252339.html,嘉悦江庭,渝北悦来悦来滨江路2号（悦来立交下道口往国博...,待售,住宅,"轨交房,改善房,刚需房,飘窗",None,400-603-2266 转 29114,97,"['2室', '3室', '4室']",66-127
https://cq.fang.anjuke.com/loupan/389654.html,鲁能城中央公馆,渝北中央公园双龙湖街道学成路17号,待售,住宅,"轨交房,改善房,大型超市,品牌开发商",None,400-603-2266 转 41440,87,"['1室', '2室', '3室', '别墅']",36.69-141.35
https://cq.fang.anjuke.com/loupan/239540.html,鲁能星城,渝北龙头寺渝鲁大道777号,在售,公寓,"轨交房,刚需房,学校,品牌开发商",最低15000/元/㎡起,400-603-2266 转 11959,162,"['2室', '公寓']",41-99
https://cq.fang.anjuke.com/loupan/418323.html,融创碧桂园望江府,渝北悦来悦来街道悦融一路1号,在售,住宅,"轨交房,改善房,品牌开发商,公园",均价17000/元/㎡,400-603-2266 转 73857,25,['4室'],156-251
https://cq.fang.anjuke.com/loupan/425260.html,旭辉9英里,渝北回兴服装城大道站（地铁9号线）旁,待售,住宅,"即将开盘,轨交房,改善房,品牌开发商",None,400-603-2266 转 94607,102,[],60398
https://cq.fang.anjuke.com/loupan/429157.html,华宇旭辉御璟湖山,渝北礼嘉礼贤路,在售,住宅,"即将开盘,轨交房,改善房,湖景",最低14000/元/㎡起,400-603-2266 转 98527,23,[],839879
